"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","1.40","GOTERM_CC_DIRECT","extracellular space","7","33","1753","27008","20.59","1.56e-2","6.84e-1","3.27","8.00e-1","6.84e-1","4.60e-3","LGALS3,LIPG,SERPINA3M,SERPINA3N,MSLN,ORM2,DKK3"
"1","1.40","GOTERM_CC_DIRECT","extracellular region","8","33","2302","27008","23.53","1.63e-2","6.84e-1","2.84","8.14e-1","6.84e-1","5.52e-3","LGALS3,APOC1,LIPG,SERPINA3M,SERPINA3N,MSLN,ORM2,DKK3"
"1","1.40","UP_KW_CELLULAR_COMPONENT","Secreted","8","29","1914","19181","23.53","1.76e-2","3.53e-1","2.76","2.99e-1","3.53e-1","6.13e-3","LGALS3,APOC1,LIPG,SERPINA3M,SERPINA3N,MSLN,ORM2,DKK3"
"1","1.40","UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine","11","31","3737","22290","32.35","2.04e-2","1.00e+0","2.12","9.59e-1","1.00e+0","9.26e-3","CHODL,MUSK,SLC43A2,LIPG,SLC2A1,SERPINA3M,SERPINA3N,MSLN,ORM2,TLR4,DKK3"
"1","1.40","UP_KW_DOMAIN","Signal","12","23","4774","15070","35.29","5.62e-2","3.93e-1","1.65","3.33e-1","3.93e-1","3.27e-2","CHODL,LGALS3,MUSK,APOC1,LIPG,CHRNA9,SERPINA3M,SERPINA3N,MSLN,ORM2,TLR4,DKK3"
"1","1.40","UP_KW_PTM","Glycoprotein","12","25","4605","14128","35.29","1.23e-1","1.00e+0","1.47","7.31e-1","1.00e+0","7.89e-2","CHODL,MUSK,SLC43A2,LIPG,CHRNA9,SLC2A1,SERPINA3M,SERPINA3N,MSLN,ORM2,TLR4,DKK3"
"1","1.40","UP_KW_PTM","Disulfide bond","10","25","4079","14128","29.41","2.35e-1","1.00e+0","1.39","9.31e-1","1.00e+0","1.56e-1","CHODL,LGALS3,SLC7A5,MUSK,LIPG,CHRNA9,MSLN,ORM2,TLR4,DKK3"
"2","1.21","GOTERM_MF_DIRECT","transmembrane transporter activity","3","32","219","24521","8.82","3.12e-2","9.33e-1","10.50","9.92e-1","9.33e-1","2.88e-3","SLC7A5,SLC43A2,SLC2A1"
"2","1.21","GOTERM_CC_DIRECT","basolateral plasma membrane","3","33","309","27008","8.82","5.17e-2","1.00e+0","7.95","9.96e-1","1.00e+0","6.28e-3","SLC7A5,SLC43A2,SLC2A1"
"2","1.21","GOTERM_BP_DIRECT","transmembrane transport","3","33","561","26568","8.82","1.46e-1","1.00e+0","4.31","1.00e+0","1.00e+0","3.20e-2","SLC7A5,SLC43A2,SLC2A1"
"3","0.83","GOTERM_BP_DIRECT","lipid metabolic process","4","33","800","26568","11.76","7.08e-2","1.00e+0","4.03","1.00e+0","1.00e+0","1.67e-2","GSTA3,LIPG,CYP2E1,ACOT4"
"3","0.83","UP_KW_BIOLOGICAL_PROCESS","Lipid metabolism","4","24","728","11883","11.76","1.64e-1","1.00e+0","2.72","9.94e-1","1.00e+0","5.58e-2","GSTA3,LIPG,CYP2E1,ACOT4"
"3","0.83","KEGG_PATHWAY","Metabolic pathways","5","18","1667","10620","14.71","2.72e-1","1.00e+0","1.77","1.00e+0","1.00e+0","1.39e-1","GSTA3,LIPG,CYP2E1,AMPD3,ACOT4"
"4","0.77","GOTERM_MF_DIRECT","protein kinase activity","4","32","539","24521","11.76","3.01e-2","9.33e-1","5.69","9.90e-1","9.33e-1","5.10e-3","MUSK,IRAK2,PLK2,MKNK2"
"4","0.77","UP_SEQ_FEATURE","DOMAIN:Protein kinase","4","31","522","22290","11.76","3.25e-2","1.00e+0","5.51","9.94e-1","1.00e+0","5.67e-3","MUSK,IRAK2,PLK2,MKNK2"
"4","0.77","INTERPRO","Prot_kinase_dom","4","33","517","22313","11.76","3.73e-2","1.00e+0","5.23","9.98e-1","1.00e+0","6.85e-3","MUSK,IRAK2,PLK2,MKNK2"
"4","0.77","INTERPRO","Kinase-like_dom_sf","4","33","560","22313","11.76","4.55e-2","1.00e+0","4.83","9.99e-1","1.00e+0","9.02e-3","MUSK,IRAK2,PLK2,MKNK2"
"4","0.77","INTERPRO","Protein_kinase_ATP_BS","3","33","395","22313","8.82","1.10e-1","1.00e+0","5.14","1.00e+0","1.00e+0","2.03e-2","MUSK,PLK2,MKNK2"
"4","0.77","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor","4","31","869","22290","11.76","1.10e-1","1.00e+0","3.31","1.00e+0","1.00e+0","3.13e-2","MUSK,PLK2,MKNK2,AMPD3"
"4","0.77","GOTERM_MF_DIRECT","kinase activity","3","32","693","24521","8.82","2.18e-1","1.00e+0","3.32","1.00e+0","1.00e+0","6.08e-2","MUSK,PLK2,MKNK2"
"4","0.77","UP_KW_MOLECULAR_FUNCTION","Kinase","3","19","705","12802","8.82","2.61e-1","1.00e+0","2.87","9.99e-1","1.00e+0","8.36e-2","MUSK,PLK2,MKNK2"
"4","0.77","GOTERM_MF_DIRECT","ATP binding","4","32","1551","24521","11.76","3.12e-1","1.00e+0","1.98","1.00e+0","1.00e+0","1.41e-1","MUSK,IRAK2,PLK2,MKNK2"
"4","0.77","GOTERM_MF_DIRECT","nucleotide binding","4","32","1865","24521","11.76","4.23e-1","1.00e+0","1.64","1.00e+0","1.00e+0","2.23e-1","MUSK,IRAK2,PLK2,MKNK2"
"4","0.77","GOTERM_MF_DIRECT","transferase activity","4","32","1904","24521","11.76","4.36e-1","1.00e+0","1.61","1.00e+0","1.00e+0","2.34e-1","MUSK,GSTA3,PLK2,MKNK2"
"4","0.77","UP_KW_MOLECULAR_FUNCTION","Transferase","4","19","1994","12802","11.76","5.48e-1","1.00e+0","1.35","1.00e+0","1.00e+0","3.42e-1","MUSK,GSTA3,PLK2,MKNK2"
"4","0.77","UP_KW_LIGAND","ATP-binding","4","16","1441","6880","11.76","6.37e-1","1.00e+0","1.19","1.00e+0","1.00e+0","4.40e-1","MUSK,IRAK2,PLK2,MKNK2"
"4","0.77","UP_KW_LIGAND","Nucleotide-binding","4","16","1867","6880","11.76","8.17e-1","1.00e+0","0.92","1.00e+0","1.00e+0","6.69e-1","MUSK,IRAK2,PLK2,MKNK2"
"5","0.66","UP_KW_MOLECULAR_FUNCTION","Developmental protein","4","19","1083","12802","11.76","1.91e-1","1.00e+0","2.49","9.92e-1","1.00e+0","7.10e-2","MYOG,MUSK,TRP63,DKK3"
"5","0.66","UP_KW_MOLECULAR_FUNCTION","Developmental protein","4","19","1083","12802","11.76","1.91e-1","1.00e+0","2.49","9.92e-1","1.00e+0","7.10e-2","MYOG,MUSK,TRP63,DKK3"
"5","0.66","GOTERM_BP_DIRECT","regulation of DNA-templated transcription","4","33","1554","26568","11.76","2.87e-1","1.00e+0","2.07","1.00e+0","1.00e+0","1.25e-1","MYOG,MUSK,ZIM1,TRP63"
"6","0.49","GOTERM_BP_DIRECT","apoptotic process","4","33","687","26568","11.76","4.90e-2","1.00e+0","4.69","1.00e+0","1.00e+0","1.00e-2","EGLN3,MKNK2,PRUNE2,TRP63"
"6","0.49","UP_KW_BIOLOGICAL_PROCESS","Apoptosis","4","24","514","11883","11.76","7.50e-2","1.00e+0","3.85","8.96e-1","1.00e+0","1.85e-2","EGLN3,MKNK2,PRUNE2,TRP63"
"6","0.49","GOTERM_CC_DIRECT","nucleoplasm","5","33","3689","27008","14.71","6.53e-1","1.00e+0","1.11","1.00e+0","1.00e+0","4.76e-1","MYOG,LGALS3,PLK2,MKNK2,TRP63"
"6","0.49","GOTERM_CC_DIRECT","nucleus","8","33","6728","27008","23.53","7.18e-1","1.00e+0","0.97","1.00e+0","1.00e+0","6.02e-1","MYOG,LGALS3,EGLN3,IRAK2,PLK2,MKNK2,ZIM1,TRP63"
"6","0.49","UP_KW_CELLULAR_COMPONENT","Cytoplasm","8","29","5614","19181","23.53","7.54e-1","1.00e+0","0.94","1.00e+0","1.00e+0","6.47e-1","LGALS3,EGLN3,GSTA3,PLK2,MKNK2,PRUNE2,TRP63,MYOM3"
"6","0.49","UP_KW_CELLULAR_COMPONENT","Nucleus","6","29","5576","19181","17.65","9.42e-1","1.00e+0","0.71","1.00e+0","1.00e+0","8.88e-1","MYOG,LGALS3,EGLN3,MKNK2,ZIM1,TRP63"
"7","0.40","UP_SEQ_FEATURE","COMPBIAS:Polar residues","12","31","5631","22290","35.29","1.12e-1","1.00e+0","1.53","1.00e+0","1.00e+0","6.89e-2","CHODL,TIAM1,SLC7A5,PPFIBP2,IRAK2,PLK2,MKNK2,PRUNE2,ZIM1,TRP63,AMPD3,MYOM3"
"7","0.40","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues","9","31","6193","22290","26.47","6.23e-1","1.00e+0","1.04","1.00e+0","1.00e+0","5.06e-1","TIAM1,SLC7A5,PPFIBP2,SLC43A2,PRUNE2,ZIM1,TRP63,AMPD3,MYOM3"
"7","0.40","UP_SEQ_FEATURE","REGION:Disordered","16","31","13116","22290","47.06","8.79e-1","1.00e+0","0.88","1.00e+0","1.00e+0","8.42e-1","CHODL,SLC43A2,PLK2,PRUNE2,SLC2A1,TRP63,AMPD3,ORM2,MYOM3,TIAM1,LGALS3,SLC7A5,PPFIBP2,IRAK2,MKNK2,ZIM1"
"8","0.37","GOTERM_MF_DIRECT","protein binding","13","32","5653","24521","38.24","3.68e-2","9.33e-1","1.76","9.97e-1","9.33e-1","2.00e-2","CHODL,MYOG,MUSK,SLC2A1,CHRNA9,TRP63,MSLN,TIAM1,LGALS3,SLC7A5,IRAK2,MKNK2,TLR4"
"8","0.37","GOTERM_CC_DIRECT","synapse","4","33","1099","27008","11.76","1.40e-1","1.00e+0","2.98","1.00e+0","1.00e+0","4.37e-2","TIAM1,MUSK,CHRNA9,SLC2A1"
"8","0.37","UP_KW_CELLULAR_COMPONENT","Cell membrane","8","29","3980","19181","23.53","3.59e-1","1.00e+0","1.33","1.00e+0","1.00e+0","2.41e-1","TIAM1,SLC7A5,MUSK,SLC43A2,CHRNA9,SLC2A1,MSLN,TLR4"
"8","0.37","UP_SEQ_FEATURE","TOPO_DOM:Extracellular","5","31","2481","22290","14.71","4.33e-1","1.00e+0","1.45","1.00e+0","1.00e+0","2.59e-1","CHODL,SLC7A5,MUSK,SLC2A1,TLR4"
"8","0.37","GOTERM_CC_DIRECT","plasma membrane","9","33","6491","27008","26.47","5.17e-1","1.00e+0","1.13","1.00e+0","1.00e+0","3.95e-1","TIAM1,SLC7A5,MUSK,SLC43A2,IRAK2,CHRNA9,SLC2A1,MSLN,TLR4"
"8","0.37","UP_SEQ_FEATURE","TOPO_DOM:Cytoplasmic","5","31","3361","22290","14.71","6.83e-1","1.00e+0","1.07","1.00e+0","1.00e+0","5.11e-1","CHODL,SLC7A5,MUSK,SLC2A1,TLR4"
"8","0.37","UP_SEQ_FEATURE","TRANSMEM:Helical","9","31","6664","22290","26.47","7.15e-1","1.00e+0","0.97","1.00e+0","1.00e+0","6.09e-1","CHODL,SLC7A5,MUSK,SLC43A2,CHRNA9,SLC2A1,CTXN3,CYP2E1,TLR4"
"8","0.37","UP_KW_DOMAIN","Transmembrane","9","23","6120","15070","26.47","7.30e-1","9.19e-1","0.96","1.00e+0","9.19e-1","6.35e-1","CHODL,SLC7A5,MUSK,SLC43A2,CHRNA9,SLC2A1,CTXN3,CYP2E1,TLR4"
"8","0.37","GOTERM_CC_DIRECT","membrane","11","33","9459","27008","32.35","7.33e-1","1.00e+0","0.95","1.00e+0","1.00e+0","6.44e-1","CHODL,TIAM1,SLC7A5,MUSK,SLC43A2,CHRNA9,SLC2A1,CTXN3,CYP2E1,MSLN,TLR4"
"8","0.37","UP_KW_DOMAIN","Transmembrane helix","8","23","5549","15070","23.53","7.57e-1","9.19e-1","0.94","1.00e+0","9.19e-1","6.56e-1","CHODL,SLC7A5,MUSK,SLC43A2,SLC2A1,CTXN3,CYP2E1,TLR4"
"8","0.37","UP_KW_CELLULAR_COMPONENT","Membrane","11","29","9361","19181","32.35","9.44e-1","1.00e+0","0.78","1.00e+0","1.00e+0","9.13e-1","CHODL,TIAM1,SLC7A5,MUSK,SLC43A2,CHRNA9,SLC2A1,CTXN3,CYP2E1,MSLN,TLR4"
"9","0.33","GOTERM_MF_DIRECT","metal ion binding","9","32","4074","24521","26.47","1.30e-1","1.00e+0","1.69","1.00e+0","1.00e+0","7.16e-2","EGLN3,MUSK,MKNK2,LIPG,ZIM1,TRP63,CYP2E1,AMPD3,CALM4"
"9","0.33","UP_KW_LIGAND","Metal-binding","9","16","4169","6880","26.47","8.01e-1","1.00e+0","0.93","1.00e+0","1.00e+0","7.33e-1","EGLN3,MUSK,MKNK2,LIPG,ZIM1,TRP63,CYP2E1,AMPD3,CALM4"
"9","0.33","UP_KW_LIGAND","Zinc","4","16","2506","6880","11.76","9.51e-1","1.00e+0","0.69","1.00e+0","1.00e+0","8.90e-1","MKNK2,ZIM1,TRP63,AMPD3"
"10","0.28","KEGG_PATHWAY","Metabolic pathways","5","18","1667","10620","14.71","2.72e-1","1.00e+0","1.77","1.00e+0","1.00e+0","1.39e-1","GSTA3,LIPG,CYP2E1,AMPD3,ACOT4"
"10","0.28","GOTERM_MF_DIRECT","hydrolase activity","3","32","1870","24521","8.82","6.96e-1","1.00e+0","1.23","1.00e+0","1.00e+0","4.45e-1","LIPG,AMPD3,ACOT4"
"10","0.28","UP_KW_MOLECULAR_FUNCTION","Hydrolase","3","19","1912","12802","8.82","7.74e-1","1.00e+0","1.06","1.00e+0","1.00e+0","5.56e-1","LIPG,AMPD3,ACOT4"
"11","0.26","GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","4","33","1328","26568","11.76","2.14e-1","1.00e+0","2.42","1.00e+0","1.00e+0","8.06e-2","MYOG,ZIM1,TRP63,TLR4"
"11","0.26","GOTERM_BP_DIRECT","regulation of DNA-templated transcription","4","33","1554","26568","11.76","2.87e-1","1.00e+0","2.07","1.00e+0","1.00e+0","1.25e-1","MYOG,MUSK,ZIM1,TRP63"
"11","0.26","GOTERM_MF_DIRECT","RNA polymerase II cis-regulatory region sequence-specific DNA binding","3","32","1060","24521","8.82","3.90e-1","1.00e+0","2.17","1.00e+0","1.00e+0","1.59e-1","MYOG,ZIM1,TRP63"
"11","0.26","GOTERM_MF_DIRECT","DNA-binding transcription factor activity, RNA polymerase II-specific","3","32","1080","24521","8.82","3.99e-1","1.00e+0","2.13","1.00e+0","1.00e+0","1.65e-1","MYOG,ZIM1,TRP63"
"11","0.26","GOTERM_MF_DIRECT","DNA binding","3","32","2205","24521","8.82","7.81e-1","1.00e+0","1.04","1.00e+0","1.00e+0","5.59e-1","MYOG,ZIM1,TRP63"
"11","0.26","UP_KW_MOLECULAR_FUNCTION","DNA-binding","3","19","1958","12802","8.82","7.86e-1","1.00e+0","1.03","1.00e+0","1.00e+0","5.73e-1","MYOG,ZIM1,TRP63"
"11","0.26","UP_KW_CELLULAR_COMPONENT","Nucleus","6","29","5576","19181","17.65","9.42e-1","1.00e+0","0.71","1.00e+0","1.00e+0","8.88e-1","MYOG,LGALS3,EGLN3,MKNK2,ZIM1,TRP63"
"11","0.26","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation","3","24","2267","11883","8.82","9.51e-1","1.00e+0","0.66","1.00e+0","1.00e+0","8.63e-1","MYOG,ZIM1,TRP63"
"11","0.26","UP_KW_BIOLOGICAL_PROCESS","Transcription","3","24","2325","11883","8.82","9.56e-1","1.00e+0","0.64","1.00e+0","1.00e+0","8.76e-1","MYOG,ZIM1,TRP63"

