"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol","padj_combi_ctrl","log2FC_combi_ctrl"
"ENSMUSG00000000194",528.815663393282,-0.475373679492608,0.23852175067526,0.000989055083900825,0.0167092514339717,"Gpr107",0.214651400294321,-0.285153031010526
"ENSMUSG00000000290",62.3682840475884,0.536663056226657,0.451799062201086,0.00385504154958204,0.044852544923497,"Itgb2",0.13983512537347,0.452727099132884
"ENSMUSG00000000441",1822.09640367114,-0.355876705290907,0.119890618275956,0.00033869987168539,0.00757649362603683,"Raf1",0.510541741928193,-0.114013384517842
"ENSMUSG00000000827",643.741032316824,0.340439221867076,0.123633552860774,0.000755410903397163,0.0136018346330843,"Tpd52l2",0.888367023115865,0.0313958622448904
"ENSMUSG00000001248",694.964874148806,0.496090362989336,0.141005012273291,7.779518734183e-06,0.000365661244061,"Gramd1a",0.916443223421698,0.0249011138732305
"ENSMUSG00000001418",279.162971487794,0.425531189247162,0.263099271161867,0.00339858206237611,0.0411276916242536,"Glmp",0.210794889344702,0.311164005060747
"ENSMUSG00000001521",136.340966517796,0.598464096381742,0.274303304717646,0.000252525347827554,0.00598985434173623,"Tulp3",0.28647694150268,0.258401626868366
"ENSMUSG00000001552",1499.62115550351,0.466840002985574,0.151005323318383,5.15166266142783e-05,0.00169034104841667,"Jup",0.921054127154736,0.0245373782662771
"ENSMUSG00000001604",2894.95113438802,-0.556069714979618,0.120168063814597,2.75529843832341e-08,2.51306178395414e-06,"Tcea3",0.000312338846419043,-0.437520985688402
"ENSMUSG00000001911",3541.49431161211,-0.341193241742959,0.124632166719035,0.000781584239581631,0.0139420434262041,"Nfix",0.0102531237105141,-0.366508636074228
"ENSMUSG00000002076",21.890537252922,0.648123434659896,0.805092779879791,0.00403596279441131,0.0460743825554399,"Hsf2bp",0.189787240445615,0.462313986897916
"ENSMUSG00000002395",586.218067077525,0.409779029758548,0.111488484289134,1.51418997761722e-05,0.000624704201505404,"Use1",0.00172049199884431,0.387968447396347
"ENSMUSG00000002396",103.576920197898,0.503370133523494,0.247713215440631,0.000711111805190492,0.0130496836486326,"Ocel1",0.179066796614553,0.312653185615485
"ENSMUSG00000002603",156.921243712337,1.36777492718063,0.200319960882404,5.29518865008412e-13,1.35230292808732e-10,"Tgfb1",0.88815766480943,0.042692907394498
"ENSMUSG00000003038",367.397319271632,0.975494081291294,0.134973441795677,8.26384059060842e-15,3.08845925292421e-12,"Hmgn2",0.0241630508655971,0.331890862092869
"ENSMUSG00000003154",530.92812025632,-0.351546035723594,0.129587640583953,0.000734116682895583,0.0132965365626584,"Foxj2",0.142023374729118,-0.235872149982596
"ENSMUSG00000003198",55.1156246352603,-0.51117619971338,0.299849012911915,0.0014856377719353,0.0225167434019433,"Zfp959",0.179191432778708,0.324551337495487
"ENSMUSG00000003344",549.814179695903,-0.277185063066255,0.113516197207793,0.00341650628374912,0.0411889266608086,"Btbd2",0.502830574873335,-0.113169972365309
"ENSMUSG00000003500",216.464162493629,0.456040169455967,0.231338056484489,0.00123957068800108,0.0198681398035989,"Impdh1",0.369389233837462,0.216365304487751
"ENSMUSG00000003762",76.1059896063425,0.559979591322223,0.382772272716402,0.00199170001651909,0.028076190757242,"Coq8b",0.143727559586521,0.408897902260403
"ENSMUSG00000003779",11.7472430510372,0.639945148131507,0.763247580566297,0.00402057531974914,0.0460127314187403,"Kif20a",0.775123239753891,0.101372534535873
"ENSMUSG00000003873",189.694698600313,0.657335812046626,0.224833663997966,1.6270662856098e-05,0.000668405809501315,"Bax",0.0244266160956231,0.441814059777806
"ENSMUSG00000004071",1195.99967990589,-0.376241946008803,0.0941758926148307,6.86659225789172e-06,0.000329833207422178,"Cdip1",0.0170053984605797,-0.265363989093127
"ENSMUSG00000004383",316.09851479413,-0.325320717974147,0.152702325398929,0.00396522026583834,0.045683511378527,"Large1",0.103434414581949,-0.296701539427692
"ENSMUSG00000004455",2220.73226238168,-0.391227984497529,0.117164216186207,6.54001348742698e-05,0.00202213114928871,"Ppp1cc",0.216407665926946,-0.185027514147586
"ENSMUSG00000004837",56.3809473808265,0.576455527503264,0.374283590543777,0.00155027491318942,0.0230302893538621,"Grap",0.857980688542344,-0.0637006603561472
"ENSMUSG00000004951",4413.61859568132,0.420329528466966,0.169916249216746,0.000558887498883237,0.0109511932805471,"Hspb1",0.433705190447863,0.16363963387723
"ENSMUSG00000005034",688.446304599125,-0.326984687846294,0.107486479456201,0.000386184486252114,0.00836987960797899,"Prkacb",0.169814474571543,-0.192309877435152
"ENSMUSG00000005142",243.35909769345,0.396922760460932,0.206023632550976,0.00249838802545873,0.0330594125337686,"Man2b1",0.451912130769415,0.180521539342778
"ENSMUSG00000005233",7.48347055785759,1.51682057697215,1.44991010822513,0.000608484156820528,0.0116402031647453,"Spc25",0.357057291845128,0.302066623721393
"ENSMUSG00000005886",456.535493715568,-0.291421145195469,0.11468775502327,0.00230829518686606,0.0315521919253779,"Ncoa2",0.136441215112079,-0.219466391928374
"ENSMUSG00000006024",2684.31707719496,-0.460134977342936,0.201560577700763,0.000566886967179298,0.0110357568024156,"Napa",0.167828257164464,-0.286422387433876
"ENSMUSG00000006134",538.14242001098,-0.303213604278165,0.117849142816945,0.00187490523103057,0.0266751837094535,"Crkl",0.0314261031234422,-0.304466662161367
"ENSMUSG00000006398",11.742845827737,0.884129570241313,0.825598482345592,0.00150056130823851,0.0226756419389928,"Cdc20",0.653641396416901,0.151884939392214
"ENSMUSG00000006519",65.3195501978132,0.446497628050133,0.278784120902837,0.0029438720077771,0.0373727844036193,"Cyba",0.857980688542344,0.0604017898003115
"ENSMUSG00000006585",9.96052092214696,0.603248527423449,0.702410877738765,0.00450380478633128,0.0499723394214005,"Cdt1",0.201164417354951,0.442237792665587
"ENSMUSG00000006638",72.7259989408583,0.496769710950279,0.256028775830685,0.000939783913669335,0.0160003432323947,"Abhd1",0.790157342302773,0.080297361513409
"ENSMUSG00000007415",922.165077536282,-0.27966592376886,0.100964878307928,0.00141701753138256,0.0218984023478717,"Gatad1",0.0288568974706053,-0.270316994623575
"ENSMUSG00000007613",1081.55954934881,0.375678423073929,0.199542445845923,0.00345168417220858,0.0415150365547504,"Tgfbr1",0.0206074500110529,0.477269009238785
"ENSMUSG00000007656",997.14713667818,0.397445353006388,0.18525531035488,0.00158645353039863,0.0234645052570446,"Arpp19",0.012843985295915,0.476363559557779
"ENSMUSG00000007850",1830.78408285494,-0.532381911912745,0.140383274381859,1.62584773275166e-06,9.18106494878051e-05,"Hnrnph1",0.0197335173854291,-0.339227299049655
"ENSMUSG00000008435",253.929330110511,-0.329303125135943,0.154777051561954,0.00379806794140012,0.044528429136324,"Rdh13",0.880508460897976,-0.0394025332640368
"ENSMUSG00000009739",281.508013452248,-0.40928828419105,0.145916081880734,0.000267122118775854,0.00623808540469748,"Pou6f1",0.0857640432909934,-0.287000536919519
"ENSMUSG00000010097",509.67886973982,-0.429272469463391,0.132922360784788,5.52739605721557e-05,0.00178307978494135,"Nxf1",0.00461220289165812,-0.405153291846139
"ENSMUSG00000010751",47.1440454312587,1.28612965198484,0.563087745210965,6.98358605485106e-05,0.0021359179464767,"Tnfrsf22",0.615554730920429,-0.164327595986188
"ENSMUSG00000014846",396.979628110254,0.545954584812336,0.305765870044433,0.000991904057198978,0.0167389271679074,"Tppp3",0.542899127013239,-0.170033751560693
"ENSMUSG00000014956",6601.31439174167,-0.31845103581089,0.103407601704537,0.000379470775922189,0.00825941860718139,"Ppp1cb",0.331066871927793,-0.13970158468247
"ENSMUSG00000015087",1961.42433942973,-0.310215986089295,0.11380996182289,0.00116200054430987,0.0188707981335394,"Rabl6",0.0135767846872781,-0.330286646137363
"ENSMUSG00000015095",1124.56189577596,-0.269823195701553,0.11438705313058,0.00448379484002231,0.049894835391185,"Fbxw5",0.0481723076714439,-0.277854679450406
"ENSMUSG00000015950",57.157639040896,0.6453247791596,0.449903915067623,0.00152052845548862,0.0228308593435979,"Ncf1",0.373358895082632,0.264665263990675
"ENSMUSG00000016757",197.237288268247,0.407775174463551,0.150494091448544,0.000354910982120866,0.00788159562179425,"Ttll12",0.124602987280574,-0.278250130673442
"ENSMUSG00000017418",290.085141952278,-0.358174438639863,0.153298673958319,0.00170067231545837,0.0246774639107657,"Arl5b",0.116638782039487,-0.282387705815763
"ENSMUSG00000017615",1091.28230250851,-0.265437147964502,0.0847888535910687,0.000550947005407803,0.010851106637357,"Tnfaip1",0.00996884530782141,-0.263587796594482
"ENSMUSG00000017716",7.08527540957209,2.24744105976177,1.87157257821619,0.000246995632940463,0.00589519327655252,"Birc5",0.176716013734383,0.48487588386661
"ENSMUSG00000018008",51.7538009929381,1.3678496501148,0.431324237901914,7.96153546101847e-06,0.000368563769997541,"Cyth4",0.866615767778487,0.0613249821082315
"ENSMUSG00000018042",733.182817210552,0.840542210606814,0.226522511691755,6.52473372488145e-07,4.30941788217062e-05,"Cyb5r3",0.0482846701197561,0.391207360216906
"ENSMUSG00000018507",22.8507776190364,0.702716134587296,0.508360552278731,0.00141845427564332,0.0218984023478717,"Trpv2",0.404586872380591,0.257231227034988
"ENSMUSG00000018547",1611.28329519101,-0.518949811773608,0.109227470207101,2.61917777589453e-08,2.40321323712765e-06,"Pip4k2b",4.21696244196464e-05,-0.461568956652361
"ENSMUSG00000018661",399.239869588257,0.374226668043754,0.17583511699433,0.00217716796565631,0.0301907192196848,"Cog1",0.323162195210596,0.20935990022568
"ENSMUSG00000018736",1073.63144936567,-0.332312210729388,0.111588513735808,0.000440039258521959,0.00924927511430999,"Ndel1",0.751369049036281,-0.0583322654945355
"ENSMUSG00000018774",72.494624157414,1.56821778989009,0.425553157391802,1.602395620464e-06,9.16175675088427e-05,"Cd68",0.0960011323770344,0.498240778011683
"ENSMUSG00000019102",34.3699178913512,1.0692575979966,0.696328953711422,0.000452996143979586,0.009418263112889,"Aldh3a1",0.27521304539986,0.349645405700812
"ENSMUSG00000019478",256.213370960456,-0.401231598964402,0.158969961046126,0.000628054639480518,0.0119652489557768,"Rab4a",0.0164975289538486,-0.410212003861079
"ENSMUSG00000019578",1033.97109115423,-0.330809085582442,0.132636459633233,0.00165495164359935,0.0241640597463478,"Ubxn6",0.450813523947197,-0.139324241665836
"ENSMUSG00000020091",4557.29721718745,-0.473524712509534,0.114495205500784,9.14341880392548e-07,5.64937928760283e-05,"Eif4ebp2",0.000517643828748546,-0.419927198194656
"ENSMUSG00000020101",201.051515967122,0.750965998543514,0.379326948931007,0.000280033423345409,0.00648180082465513,"Vsir",0.653593529836,-0.136124559383912
"ENSMUSG00000020149",1468.05146245692,-0.242172761487919,0.092099443303868,0.00289802729008576,0.0370053934716534,"Rab1a",0.0536084772466181,-0.223759353960194
"ENSMUSG00000020311",514.202530382985,-0.302707710814483,0.124119215926857,0.00262403493638027,0.0345133796825364,"Erlec1",0.822746810765036,-0.0480042954015315
"ENSMUSG00000020354",370.161967400316,-0.361916588601478,0.167311145235253,0.00235866142686407,0.0320132939587991,"Sgcd",0.272335735787459,-0.221418035547039
"ENSMUSG00000020393",887.249889015374,0.395547878338465,0.180496831108904,0.00146933192365322,0.0223802913182289,"Kremen1",0.0171615412946768,0.449034399837267
"ENSMUSG00000020444",316.079200620874,0.308693123668188,0.128598129976393,0.00268519220100145,0.0350470188210777,"Guk1",0.125858101538041,0.249358011782581
"ENSMUSG00000020476",196.852394273151,0.367766819811047,0.138138189326359,0.000681446892595126,0.0126874978556927,"Dbnl",0.858806696026843,0.0430188444352863
"ENSMUSG00000020580",2905.97540194993,-0.508562978329752,0.11656736178005,1.94914312272723e-07,1.47889208848322e-05,"Rock2",0.00145915993643097,-0.388686833089778
"ENSMUSG00000020608",572.909573929094,-0.340265864974293,0.121924340867721,0.000683776075553554,0.0127154135991591,"Smc6",0.946694613230282,-0.0154107422790786
"ENSMUSG00000020644",45.007543931998,0.476053785849456,0.312770655126761,0.00278706242847014,0.0359421637808871,"Id2",0.84195480611387,0.0681733299742314
"ENSMUSG00000020647",538.559846241234,-0.56936204377832,0.137662494730914,2.3229598432065e-07,1.71071846715908e-05,"Ncoa1",0.406445888616691,-0.138639655099807
"ENSMUSG00000020658",88.2093126572481,-0.648526710769243,0.413522831737866,0.0010997943653958,0.0181400958675563,"Efr3b",0.199333538048998,0.352578514419304
"ENSMUSG00000020674",316.419384028873,0.787001321070033,0.295397933957893,3.14540519725394e-05,0.00112609915508229,"Pxdn",0.854743560337567,0.0581974198048157
"ENSMUSG00000020737",782.872310116603,0.73165898390648,0.161226365008843,1.19125471529527e-08,1.15529088623224e-06,"Jpt1",0.278672434212966,0.190513895275662
"ENSMUSG00000020799",52.7044287723985,2.65695689170872,0.561337289323256,2.0640319924265e-08,1.92848550121654e-06,"Tekt1",0.427271010538875,0.253297183189839
"ENSMUSG00000020844",835.639469599629,0.583751322464032,0.126252036029078,1.94357920660741e-08,1.8270836921991e-06,"Nxn",0.0204863411974608,0.309273678270015
"ENSMUSG00000020847",129.510441942155,-0.454468894650487,0.225162700903459,0.00113059952933571,0.018508735670952,"Rph3al",0.115293770349412,-0.346218855929931
"ENSMUSG00000020859",4600.52517288241,-0.236433525394462,0.0628785686111521,7.47738605665673e-05,0.00226434756020061,"Spag9",0.437804128308407,0.0733080216345935
"ENSMUSG00000020863",817.37286782232,-0.514108678838321,0.1008321089511,4.79726562310275e-09,5.16113445428682e-07,"Luc7l3",3.1599949046706e-05,-0.437045288739127
"ENSMUSG00000020953",3.77284411874916,-1.03047308615056,1.5595212787864,0.00172318538196615,0.0249333046344356,"Coch",0.546341089316931,-0.199101067023605
"ENSMUSG00000020955",650.600524607176,-0.335688546998714,0.136971219042531,0.00173000385676464,0.02500834820491,"Ap4s1",0.136635448055976,-0.250894989053643
"ENSMUSG00000021096",3616.17229325391,-0.379029168841574,0.0903377343925739,2.84530395794997e-06,0.000151384001901623,"Ppm1a",0.000230261685062142,-0.371406348090207
"ENSMUSG00000021123",3.63527843179406,0.833302178119448,1.41051262508346,0.00265291733617985,0.0348036407040102,"Rdh12",0.243604137471121,0.382915336899757
"ENSMUSG00000021140",1805.59759111214,-0.376318536180671,0.156678495158367,0.00116256825935268,0.0188707981335394,"Pcnx1",0.43087325854895,0.159469836241428
"ENSMUSG00000021180",151.32826359823,0.848002661423488,0.204368516417799,1.02489575566783e-07,8.53504220874903e-06,"Rps6ka5",0.0160524401215747,0.448460244002311
"ENSMUSG00000021188",655.419194607393,-0.350043430836578,0.153613226591842,0.00214052628484073,0.0297904489215391,"Trip11",0.411431261191415,0.164196379870581
"ENSMUSG00000021190",516.777746291338,0.571384608487432,0.148703254686961,8.16581861692139e-07,5.14917031551796e-05,"Lgmn",0.218362587882954,0.206731896078933
"ENSMUSG00000021194",4.26756232142723,0.85899976215215,1.43757262686173,0.00248829456978687,0.0329543108840485,"Chga",0.761565728610159,0.0943246223129992
"ENSMUSG00000021215",1407.28403368303,0.78943817659529,0.314197002833658,5.19794472429712e-05,0.00170188262842745,"Net1",0.608463901264081,0.143239952536637
"ENSMUSG00000021256",67.295787675487,0.875522682867466,0.403039520084194,0.0001362874357235,0.00368312588640422,"Vash1",0.295122013302695,0.291311301494141
"ENSMUSG00000021262",75.2727755558785,0.950868662341239,0.35867544689816,3.31960853822674e-05,0.00117746207479741,"Evl",0.512258412568325,0.186175501860666
"ENSMUSG00000021500",831.53540933459,-0.354041751925256,0.186492252684071,0.00432594005210902,0.0486311579914585,"Ddx46",0.940829982260915,-0.0227212918593354
"ENSMUSG00000021550",188.80133701795,0.344962279511564,0.153000681643577,0.00240294902126326,0.0324123132507191,"Qng1",0.98231227749653,-0.00673027490819599
"ENSMUSG00000021669",954.672934278148,-0.317386764206865,0.0987716878748317,0.00025101999787684,0.00596337895731291,"Cert1",0.440771195108352,-0.110544671139195
"ENSMUSG00000021703",148.533065192987,1.47646142641427,0.280003757205439,3.64341217397004e-09,4.19759434148443e-07,"Serinc5",0.33965316936115,0.252314837615951
"ENSMUSG00000021830",416.167640240813,-0.358047158086554,0.125872183915737,0.000471044210738003,0.0097013581198097,"Txndc16",0.0783051234082275,-0.2675077864687
"ENSMUSG00000021832",2023.08528052356,0.275415043545518,0.112455395535701,0.00341602972338873,0.0411889266608086,"Psmc6",0.740342724499892,0.0622656050240579
"ENSMUSG00000021973",741.457927669688,0.313484312805632,0.103206167956296,0.000456654389640764,0.00946862680983143,"Micu2",0.872240184320428,0.0307036641388319
"ENSMUSG00000021996",807.033440974324,0.535992313429794,0.169784960617228,1.75176339350208e-05,0.000713890172304051,"Esd",0.714942229325239,-0.0824662035810374
"ENSMUSG00000022052",597.389946530044,-0.307000978908891,0.129782980025495,0.00296915984562856,0.0375096216334407,"Ppp2r2a",0.0357273440270721,-0.324311739465279
"ENSMUSG00000022185",1130.44248417069,-0.298219903940946,0.116362242320268,0.00203113803111946,0.0285271567835413,"Acin1",0.379460713615567,0.142522342730231
"ENSMUSG00000022211",6.24017106842846,-1.55326279590693,1.53907853992887,0.000616759314374971,0.0117837942321293,"Carmil3",0.372578018630455,-0.294661391125281
"ENSMUSG00000022255",3135.5714015366,-0.321180390228194,0.0946251199851455,0.000131057976362925,0.00356696513642825,"Mtdh",0.416214699278543,0.110959878953645
"ENSMUSG00000022307",1014.22877881029,-0.350595525856916,0.133049471328597,0.000910938245638951,0.0156483259393785,"Oxr1",0.0535891898972487,-0.302710194768766
"ENSMUSG00000022359",34.8284574213181,1.01627670876787,0.420195121250258,6.36490802471467e-05,0.00198634390351737,"Ntaq1",0.260899323032206,0.317177148043552
"ENSMUSG00000022385",6.71626510912951,1.75933408321392,1.26484143008469,0.000267468649147441,0.00623808540469748,"Gtse1",0.750694005512579,0.109250982870495
"ENSMUSG00000022440",49.148879871688,0.839881355485131,0.421132548200989,0.000232062417087376,0.00559102581294004,"C1qtnf6",0.447410922967412,-0.224742313969883
"ENSMUSG00000022442",50.7008021272919,0.850275373002445,0.346644826854029,6.06985369075167e-05,0.00191769831141006,"Ttll1",0.280470230880189,0.284868374053823
"ENSMUSG00000022463",317.07938815583,0.400160986481282,0.125776976137726,9.72516417751215e-05,0.00279263765444449,"Srebf2",0.0271832479036714,-0.329126435196321
"ENSMUSG00000022533",1878.53768748277,1.43992159646248,0.16768695138468,5.18868726515226e-19,2.83950910585458e-16,"Atp13a3",0.625361792269461,0.109474027887962
"ENSMUSG00000022553",1465.0983459799,-0.4192310369788,0.131767793161045,7.44878508658526e-05,0.00226015314617319,"Maf1",0.0509561779423317,-0.29348659991475
"ENSMUSG00000022587",578.811427515402,0.657070531055358,0.180569963807513,9.62124082983038e-07,5.89705092941964e-05,"Ly6e",0.652231436535164,-0.0994600260639358
"ENSMUSG00000022663",358.479070812711,-0.339785667660959,0.124142495256905,0.000796386113935197,0.0141075426865075,"Atg3",0.044396480794155,-0.297641103747383
"ENSMUSG00000022723",471.172774510098,-1.02499061345862,0.141451292869381,1.23103016434573e-14,4.28706254733401e-12,"Crybg3",0.279262192646887,-0.180477196942842
"ENSMUSG00000022770",1063.91994974859,-0.395618437031936,0.170167962233756,0.00108888915792301,0.0179989736427769,"Dlg1",0.031577618744281,-0.392067929219156
"ENSMUSG00000022831",62.406371801611,1.02645569963591,0.293047779650623,2.45071312393941e-06,0.00013269355900397,"Hcls1",0.228147087615515,0.302646638058741
"ENSMUSG00000022892",2049.8357233389,0.395366484563376,0.122884672528187,9.25359156788206e-05,0.00269568029647636,"App",0.000783961097239617,-0.452164795514941
"ENSMUSG00000022912",206.341608612492,0.606678458508265,0.189834926434015,7.87990429231564e-06,0.000365890222639856,"Pros1",0.395149046954402,-0.177232594283882
"ENSMUSG00000022967",211.261524046942,0.376541309645944,0.152247322096215,0.000978367055327411,0.0166019029776101,"Ifnar1",0.397945452939243,0.167619963097067
"ENSMUSG00000023106",636.332762905745,-0.438664923138263,0.145185809136697,9.4410936505123e-05,0.00272954486805283,"Denr",0.365742433575953,-0.165107349713264
"ENSMUSG00000023118",1792.924490903,-0.558251500005457,0.190862692522815,3.13445332695132e-05,0.0011248062840486,"Sympk",0.00827213488714413,-0.467114501302107
"ENSMUSG00000023186",683.171725667303,0.351515363061382,0.146529365053434,0.00160401160076765,0.0236329516909257,"Vwa5a",0.0405375729047642,0.344281323113647
"ENSMUSG00000023367",84.5973587544531,0.502441324953352,0.345120139229459,0.00271572435488377,0.035333651498503,"Tmem176a",0.30532176815895,0.28417776384711
"ENSMUSG00000023942",574.082367805448,0.404949379317743,0.150718801448002,0.000391827496414252,0.00845629961627547,"Slc29a1",0.151032166452876,0.254450508942854
"ENSMUSG00000024063",123.022171723318,1.15247014964076,0.292972349387495,7.59517932513056e-07,4.82908434850521e-05,"Lbh",0.796490165094863,-0.0814266557620757
"ENSMUSG00000024370",258.470603760625,-0.604210929290657,0.274218192066137,0.000229974532206286,0.00556698223854175,"Cdc23",0.515794441071039,-0.1677779514034
"ENSMUSG00000024533",188.709864585514,0.417077088206687,0.180759726913891,0.000871879742626812,0.0150958342330742,"Spire1",0.174113478266468,0.274729074266131
"ENSMUSG00000024580",299.16202801365,-0.306496238599969,0.132014351992769,0.00329981521739499,0.0401294195048757,"Grpel2",0.89367050248158,-0.0316159744043384
"ENSMUSG00000024725",347.208741481205,0.296695285422343,0.118664831887499,0.00241489309795771,0.0325104469337474,"Ostf1",0.00392026046070668,-0.408177914539821
"ENSMUSG00000024726",3307.59983183934,-0.451998991906706,0.08720766555568,8.46851023499192e-09,8.3718053116633e-07,"Carnmt1",2.42087587510782e-06,-0.439549444794838
"ENSMUSG00000024785",110.98454410691,0.527437301392998,0.295388998168788,0.00110659483751428,0.0182326373067003,"Rcl1",0.0753558455963479,0.436626647493688
"ENSMUSG00000024811",2571.24317708159,-0.325065586818983,0.125841732352231,0.00142212340249154,0.0219227332961549,"Tnks2",0.331442451203611,-0.164703729989755
"ENSMUSG00000024858",968.433167296805,-0.326536055757984,0.142619685855892,0.00279543155364056,0.0359952921818776,"Grk2",0.296819211903664,-0.193000845435869
"ENSMUSG00000024896",329.355797550779,0.420460163408651,0.152648626278924,0.000265122868296841,0.00620225604719465,"Minpp1",0.419876906278683,0.157877089997497
"ENSMUSG00000025025",893.607585075964,-0.46628249110292,0.109457817622459,5.96591276029233e-07,3.97459483591128e-05,"Mxi1",0.19839069530823,-0.175371650819485
"ENSMUSG00000025035",767.400627936614,-0.648214769827992,0.183047154557505,1.52092549285171e-06,8.76133132592734e-05,"Arl3",0.015569933515441,-0.406988713107889
"ENSMUSG00000025151",455.619567374359,0.982085395268021,0.149175869567551,6.75318290464084e-13,1.66901647819051e-10,"Maged1",0.794199418814703,-0.0586052744331698
"ENSMUSG00000025157",230.998580458023,-0.403749216333492,0.135739276400357,0.000176003888066799,0.0045277212962655,"Zdhhc16",0.0584077158668591,-0.294357508218004
"ENSMUSG00000025213",82.8039892305325,-1.30265125779994,0.276199945924824,5.19776367811181e-08,4.57731797929352e-06,"Kazald1",0.739604979385712,-0.0974763501829693
"ENSMUSG00000025225",310.103119443469,1.75562360034386,0.177312500568584,4.52758525450166e-25,4.62507925698193e-22,"Nfkb2",0.0162961365776037,0.442694200239856
"ENSMUSG00000025234",2476.66250720185,-0.28026320105963,0.104834876315371,0.00183358340940685,0.0262049948749671,"Arih1",0.536807584877848,-0.0985008106106949
"ENSMUSG00000025245",299.709142310091,0.427565025434471,0.211239988805358,0.0014659956220586,0.0223601824672925,"Lztfl1",0.161462996787107,0.305377212456579
"ENSMUSG00000025255",259.042827088275,-0.432910283738657,0.283255786853521,0.00377539898765497,0.0443624861430303,"Zfhx4",0.133651031488268,-0.379628357878469
"ENSMUSG00000025261",3290.12065563155,-0.441686787593811,0.145971491395685,8.93398095947557e-05,0.00262251705444529,"Huwe1",0.00408699207286781,-0.438915224911029
"ENSMUSG00000025272",7.81821151426333,1.28491466260857,1.36193324564864,0.000932226681536588,0.0159247596891696,"Tro",0.469387610170071,-0.227769598191139
"ENSMUSG00000025340",1017.00966216337,-0.424403243262381,0.142458679133161,0.000130718383003005,0.00356405299422606,"Rabgef1",0.00237946779954561,-0.458570193432855
"ENSMUSG00000025366",532.357726018869,0.285602816362803,0.101274884874695,0.00116105782403642,0.0188707981335394,"Esyt1",0.262103075865625,0.157013347090099
"ENSMUSG00000025401",17.4864567248359,1.63746432374767,0.794606247244371,7.70885398564572e-05,0.00232983766512918,"Myo1a",0.437456861547198,0.252418352174578
"ENSMUSG00000025425",336.528306911155,-0.431356791923418,0.167903045017257,0.00038069419470399,0.00827429382333225,"St8sia5",0.00655100145843769,-0.470591813554057
"ENSMUSG00000025492",430.273519056418,0.98810851462168,0.201039667222728,7.15085809737036e-09,7.3048399084004e-07,"Ifitm3",0.316628158388196,-0.213918504272138
"ENSMUSG00000025498",52.589446516349,0.569451999542438,0.474184725271385,0.00325997150428732,0.0399300906156631,"Irf7",0.507512816913751,0.208810544802552
"ENSMUSG00000025578",22.4974278780736,0.901445099680203,0.602051862519419,0.000678236418581604,0.0126430859390826,"Cbx8",0.480292332997961,0.225036334422894
"ENSMUSG00000025630",360.577290957805,0.304292360815315,0.112247398401762,0.00129123297368621,0.020486711452301,"Hprt1",0.567633811336417,0.099410847281699
"ENSMUSG00000025743",347.844765493018,0.312935167467889,0.14250429538523,0.00402382432298584,0.0460127314187403,"Sdc3",0.296000716852564,-0.197796058127483
"ENSMUSG00000025759",275.88105297192,-0.377922179972617,0.164114995480255,0.00142916851862156,0.0219650443438698,"Mfsd8",0.327122567066262,-0.196920336734237
"ENSMUSG00000025793",536.125175215101,0.392003506685808,0.169386158894986,0.00116715659029963,0.0189052224452021,"Hgs",0.536817018578472,0.137685874127311
"ENSMUSG00000025911",589.283149110363,-0.37272883562778,0.160521648528927,0.00146156941300948,0.02233379336037,"Adhfe1",0.854278013372662,-0.047676432150184
"ENSMUSG00000025969",224.91047668979,0.451891866598257,0.235130868735288,0.00143887381660397,0.0220787390441026,"Nrp2",0.441290519948302,0.1909912827029
